away,cross,home,ones,twos,year
Liberia,3.60,Mali,1.50,5.72,2006
Kenya,3.50,Guinea,1.60,4.88,2006
Zambia,3.13,Togo,2.01,3.30,2006
Burkina Faso,3.88,Ghana,1.38,7.32,2006
Algeria,3.25,Angola,1.77,4.14,2006
Senegal,3.58,Congo,6.43,1.48,2006
Uganda,3.42,D.R. Congo,1.54,5.88,2006
Nigeria,3.97,Rwanda,7.68,1.36,2006
Gabon,3.30,Zimbabwe,1.67,4.65,2006
Bolivia,3.60,Chile,1.50,5.80,2006
Mexico,3.52,Guatemala,5.39,1.57,2006
Uruguay,3.14,Venezuela,2.60,2.47,2006
Costa Rica,3.90,USA,1.41,6.90,2006
Panama,3.23,Trinidad & Tobago,1.87,3.76,2006
Argentina,3.10,Ecuador,2.99,2.20,2006
Peru,3.20,Colombia,1.72,4.33,2006
Lithuania,6.11,Spain,1.14,9.99,2006
Slovakia,3.92,Portugal,1.39,7.53,2006
Georgia,3.41,Albania,1.67,4.57,2006
Israel,3.75,Ireland,1.46,6.64,2006
Romania,4.09,Netherlands,1.37,7.57,2006
Italy,2.99,Norway,2.97,2.30,2006
Bosnia & Herzegovina,6.17,San Marino,9.99,1.12,2006
Belgium,3.51,Serbia and Montenegro,1.57,5.28,2006
Hungary,3.14,Iceland,2.88,2.26,2006
Greece,3.08,Turkey,1.99,3.61,2006
Slovenia,3.15,Belarus,1.98,3.55,2006
Kazakhstan,8.33,Ukraine,1.04,9.99,2006
Switzerland,5.93,Faroe Islands,9.87,1.17,2006
Malta,9.49,Sweden,1.01,9.99,2006
FYR Macedonia,3.11,Armenia,2.28,2.91,2006
Croatia,2.99,Bulgaria,2.38,2.82,2006
Andorra,9.49,Czech Republic,1.01,9.99,2006
Poland,4.46,Azerbaijan,8.64,1.30,2006
Liechtenstein,4.48,Estonia,1.30,8.45,2006
Latvia,4.21,Russia,1.34,8.07,2006
Moldova,3.74,Scotland,1.45,6.99,2006
Kuwait,3.33,Saudi Arabia,1.62,5.27,2006
Japan,3.23,Bahrain,3.57,1.98,2006
North Korea,4.93,Iran,1.25,9.66,2006
South Korea,3.45,Uzbekistan,4.25,1.69,2006
Mexico,3.75,Panama,8.00,1.36,2006
Guatemala,4.85,USA,1.24,9.00,2006
Costa Rica,3.35,Trinidad & Tobago,3.30,1.90,2006
Spain,3.10,Serbia and Montenegro,2.87,2.27,2006
France,3.46,Israel,5.18,1.59,2006
Azerbaijan,9.50,England,1.03,9.99,2006
Bulgaria,3.14,Hungary,2.46,2.59,2006
Wales,3.43,Austria,1.68,4.75,2006
Albania,5.50,Greece,1.17,9.99,2006
Armenia,8.00,Netherlands,1.04,9.99,2006
Belgium,8.00,San Marino,9.99,1.04,2006
Cyprus,5.60,Switzerland,1.17,9.99,2006
Belarus,3.30,Slovenia,1.82,3.94,2006
Lithuania,3.43,Bosnia & Herzegovina,1.66,4.60,2006
Romania,3.43,FYR Macedonia,5.22,1.59,2006
Northern Ireland,5.25,Poland,1.20,9.99,2006
Norway,3.63,Moldova,6.52,1.47,2006
Portugal,3.17,Slovakia,3.21,1.96,2006
Saudi Arabia,3.05,Kuwait,2.29,2.70,2006
Turkey,3.39,Georgia,4.66,1.66,2006
Denmark,3.08,Ukraine,2.32,2.90,2006
Malta,7.50,Croatia,1.04,9.99,2006
Luxembourg,7.25,Latvia,1.06,9.99,2006
Russia,3.55,Estonia,5.91,1.52,2006
Czech Republic,7.50,Andorra,9.99,1.04,2006
Uzbekistan,5.00,South Korea,1.23,9.00,2006
Bahrain,4.25,Japan,1.29,8.50,2006
Iran,3.45,North Korea,3.95,1.70,2006
USA,3.25,Mexico,1.77,4.31,2006
Trinidad & Tobago,3.30,Guatemala,1.72,4.23,2006
Uruguay,3.00,Chile,2.10,3.20,2006
Panama,3.83,Costa Rica,1.46,6.09,2006
Colombia,3.10,Venezuela,2.46,2.51,2006
Switzerland,4.14,France,1.33,9.33,2006
Scotland,5.49,Italy,1.19,9.99,2006
Guinea,3.90,Morocco,1.40,6.20,2006
Bosnia & Herzegovina,3.31,Belgium,1.76,4.25,2006
Kazakhstan,7.50,Denmark,1.05,9.99,2006
Netherlands,3.08,Romania,2.96,2.23,2006
Albania,5.25,Turkey,1.26,7.92,2006
Ireland,3.07,Israel,3.05,2.26,2006
Greece,3.13,Georgia,3.39,2.03,2006
Iceland,4.76,Croatia,1.23,9.99,2006
Azerbaijan,6.06,Poland,1.15,9.99,2006
Finland,4.51,Czech Republic,1.27,9.33,2006
Slovakia,3.18,Estonia,3.75,1.88,2006
Russia,6.31,Liechtenstein,9.99,1.12,2006
Sweden,3.09,Bulgaria,2.92,2.28,2006
Northern Ireland,7.07,England,1.11,9.99,2006
Austria,3.25,Wales,1.88,3.93,2006
Andorra,4.04,Armenia,1.37,7.12,2006
Uzbekistan,3.18,Kuwait,2.05,3.13,2006
South Korea,3.05,Saudi Arabia,2.55,2.45,2006
Japan,3.03,Iran,2.40,2.66,2006
Bahrain,3.15,North Korea,1.90,3.45,2006
San Marino,8.50,Spain,1.01,9.99,2006
Denmark,3.13,Greece,2.12,3.04,2006
Kenya,3.90,Morocco,1.40,6.20,2006
Iran,3.20,Bahrain,2.51,2.50,2006
Andorra,7.25,FYR Macedonia,1.06,9.99,2006
Kuwait,4.10,South Korea,1.36,6.90,2006
Saudi Arabia,3.20,Uzbekistan,2.04,3.10,2006
North Korea,4.60,Japan,1.33,8.25,2006
Chile,3.18,Peru,1.94,3.52,2006
Venezuela,5.35,Argentina,1.19,9.99,2006
Bolivia,3.91,Colombia,1.37,7.59,2006
Paraguay,3.18,Uruguay,1.98,3.44,2006
Brazil,3.35,Ecuador,4.99,1.62,2006
Netherlands,8.50,Andorra,9.99,1.02,2006
Lithuania,5.85,San Marino,9.99,1.14,2006
Serbia and Montenegro,3.17,Belgium,2.08,3.20,2006
Kazakhstan,7.25,Greece,1.09,9.99,2006
Portugal,7.75,Luxembourg,9.99,1.04,2006
Hungary,4.82,Malta,9.66,1.24,2006
Ukraine,3.27,Turkey,1.77,4.16,2006
Denmark,3.37,Georgia,4.68,1.68,2006
Latvia,3.72,Liechtenstein,6.07,1.46,2006
Israel,3.17,Cyprus,3.52,1.97,2006
Sri Lanka,7.00,Saudi Arabia,1.10,9.99,2006
Czech Republic,3.98,FYR Macedonia,7.28,1.38,2006
Laos,8.00,Iran,1.02,9.99,2006
Estonia,4.80,Russia,1.26,9.00,2006
Vietnam,5.20,Lebanon,1.20,9.99,2006
Jordan,3.20,Qatar,2.60,2.29,2006
Romania,4.25,Armenia,7.50,1.34,2006
Tajikistan,3.90,Bahrain,1.40,6.20,2006
Kyrgyzstan,4.50,Syria,1.25,8.00,2006
North Korea,3.15,United Arab Emirates,2.04,3.10,2006
India,7.20,Oman,1.10,9.99,2006
Hong Kong,6.50,China,1.10,9.99,2006
Malaysia,7.00,Kuwait,1.05,9.99,2006
Guinea,3.10,Kenya,2.25,2.80,2006
Argentina,3.29,Germany,2.36,3.35,2014
Netherlands,3.71,Brazil,2.16,3.36,2014
Argentina,3.23,Netherlands,3.07,2.54,2014
